,ra_num,ide,CD_SUBDIST
0,2,gama,53001080507
1,3,taguatinga,53001080508
2,5,sobradinho,53001080510
3,6,planaltina,53001080511
4,11,cruzeiro,53001080517
5,12,samambaia,53001080518
6,13,santa_maria,53001080525
7,15,recanto_das_emas,53001080520
8,16,lago_sul,53001080523
9,1,plano_piloto,53001080506
10,4,brazlandia,53001080509
11,7,paranoa,53001080512
12,8,nucleo_bandeirante,53001080514
13,9,ceilandia,53001080515
14,10,guara,53001080516
15,14,sao_sebastiao,53001080530
16,22,sudoeste_octogonal,53001080535
17,24,park_way,53001080542
18,17,riacho_fundo,53001080513
19,18,lago_norte,53001080521
20,21,riacho_fundo_ii,53001080541
21,19,candangolandia,53001080519
22,23,varjao,53001080543
23,29,sia,53001080533
24,31,fercal,53001080539
25,30,vicente_pires,53001080537
26,25,scia,53001080534
27,26,sobradinho_ii,53001080544
28,27,jardim_botanico,53001080540
29,28,itapoa,53001080538
30,20,aguas_claras,53001080536
0,32,jardins_mangueiral,
